id_factura,id_proveedor,monto_usd,area_interna,fecha,articulos
FAC-00005,PROV-0810,"7345,04",Finanzas,13/5/2025,SKU-4427
FAC-00006,PROV-0351,"10747,46",Finanzas,11/1/2025,SKU-3413
FAC-00010,PROV-0255,"4495,85",Finanzas,17/1/2025,SKU-6875
FAC-00011,PROV-0133,"14342,84",Finanzas,4/9/2025,SKU-3656
FAC-00015,PROV-0678,"8359,12",Finanzas,2/2/2025,SKU-6701
FAC-00017,PROV-0050,"3084,74",Finanzas,25/3/2025,SKU-9515
FAC-00019,PROV-0091,"11874,46",Finanzas,8/10/2025,SKU-4645
FAC-00020,PROV-0126,"4344,59",Finanzas,13/3/2025,SKU-6235
FAC-00024,PROV-0717,"6406,26",Finanzas,3/4/2025,SKU-3928
FAC-00032,PROV-0523,"14882,72",Finanzas,21/4/2025,SKU-2476
FAC-00033,PROV-0410,"8861,21",Finanzas,29/3/2025,SKU-7389
FAC-00042,PROV-0966,"9831,62",Finanzas,9/4/2025,SKU-5126
FAC-00053,PROV-0935,"2805,53",Finanzas,18/4/2025,SKU-1497
FAC-00063,PROV-0224,"13307,69",Finanzas,6/2/2025,SKU-1125
FAC-00082,PROV-0838,"9943,45",Finanzas,1/4/2025,SKU-6764
FAC-00093,PROV-0807,"5838,69",Finanzas,19/4/2025,SKU-7089
FAC-00105,PROV-0873,"4441,7",Finanzas,15/7/2025,SKU-4649
FAC-00115,PROV-0288,"12625,61",Finanzas,21/6/2025,SKU-5065
FAC-00118,PROV-0505,"8143,24",Finanzas,1/10/2025,SKU-3606
FAC-00120,PROV-0021,"13459,43",Finanzas,8/6/2025,SKU-1477
FAC-00123,PROV-0584,"10954,51",Finanzas,16/6/2025,SKU-7888
FAC-00132,PROV-0970,"9415,67",Finanzas,6/2/2025,SKU-6018
FAC-00135,PROV-0172,"9566,79",Finanzas,11/2/2025,SKU-2161
FAC-00139,PROV-0650,"12815,85",Finanzas,30/8/2025,SKU-9932
FAC-00144,PROV-0391,"9056,83",Finanzas,15/10/2025,SKU-3079
FAC-00158,PROV-0265,"11635,28",Finanzas,12/12/2025,SKU-9273
