periodo_ipc,fecha_ipc,ipc,ipc_fecha_max,fecha_ipc_max,coeficiente
202602,2026-02-28 0:00:00,"10714,6255","10714,6255",28/2/2026,1
202601,2026-01-31 0:00:00,"10413,0309","10714,6255",28/2/2026,1.028.963.191
202512,2025-12-31 0:00:00,"10121,3715","10714,6255",28/2/2026,1.058.613.993
202511,2025-11-30 0:00:00,"9841,3581","10714,6255",28/2/2026,108.873.444
202510,2025-10-31 0:00:00,"9603,8623","10714,6255",28/2/2026,1.115.657.968
202509,2025-09-30 0:00:00,"9384,0922","10714,6255",28/2/2026,1.141.786.043
202508,2025-08-01 0:00:00,"9193,2441","10714,6255",28/2/2026,1.165.489.068
202507,2025-07-01 0:00:00,"9023,973","10714,6255",28/2/2026,1.187.351.237
202506,2025-06-01 0:00:00,"8855,5681","10714,6255",28/2/2026,1.209.930.902
202505,2025-05-01 0:00:00,"8714,4871","10714,6255",28/2/2026,1.229.518.775
202504,2025-04-01 0:00:00,"8585,6078","10714,6255",28/2/2026,1.247.975.187
202503,2025-03-01 0:00:00,"8353,3158","10714,6255",28/2/2026,1.282.679.328
202502,2025-02-01 0:00:00,"8052,9927","10714,6255",28/2/2026,1.330.514.741
202501,2025-01-01 0:00:00,"7864,1257","10714,6255",28/2/2026,1.362.468.748
