id_proveedor,cuit,nombre,provincia,rubro
PROV-0001,30-31960560-2,Empresa PROV-0001,Neuquén,Hardware
PROV-0002,30-65394348-8,Empresa PROV-0002,Neuquén,Consultoría
PROV-0003,30-56407851-8,Empresa PROV-0003,Mendoza,Limpieza
PROV-0004,30-70699337-4,Empresa PROV-0004,Buenos Aires,Catering
PROV-0005,30-60241308-7,Empresa PROV-0005,CABA,Hardware
PROV-0006,30-16279588-8,Empresa PROV-0006,CABA,Consultoría
PROV-0007,30-52653638-5,Empresa PROV-0007,Buenos Aires,Catering
PROV-0008,30-16136277-3,Empresa PROV-0008,Neuquén,Librería
PROV-0009,30-37132394-3,Empresa PROV-0009,Neuquén,Limpieza
PROV-0010,30-35529626-9,Empresa PROV-0010,Buenos Aires,Catering
PROV-0011,30-19487240-8,Empresa PROV-0011,Santa Fe,Mantenimiento
PROV-0012,30-49070387-1,Empresa PROV-0012,Neuquén,Catering
PROV-0013,30-63863440-1,Empresa PROV-0013,Córdoba,Hardware
PROV-0014,30-54296518-5,Empresa PROV-0014,Buenos Aires,Consultoría
PROV-0015,30-76422572-4,Empresa PROV-0015,Santa Fe,Mantenimiento
PROV-0016,30-75620976-0,Empresa PROV-0016,Mendoza,Hardware
PROV-0017,30-92753831-7,Empresa PROV-0017,Santa Fe,Consultoría
PROV-0018,30-32450959-1,Empresa PROV-0018,CABA,Consultoría
PROV-0019,30-41889434-5,Empresa PROV-0019,Mendoza,Consultoría
PROV-0020,30-24430733-7,Empresa PROV-0020,Buenos Aires,Librería
PROV-0021,30-69350132-5,Empresa PROV-0021,Neuquén,Limpieza
PROV-0022,30-74166972-9,Empresa PROV-0022,Santa Fe,Consultoría
PROV-0023,30-20787429-5,Empresa PROV-0023,Mendoza,Mantenimiento
PROV-0024,30-77256198-5,Empresa PROV-0024,Córdoba,Consultoría
PROV-0025,30-20394445-7,Empresa PROV-0025,Neuquén,Librería
PROV-0026,30-93028429-3,Empresa PROV-0026,Neuquén,Mantenimiento
PROV-0027,30-77736129-5,Empresa PROV-0027,Santa Fe,Librería
PROV-0028,30-40010995-2,Empresa PROV-0028,Santa Fe,Hardware
PROV-0029,30-38440737-3,Empresa PROV-0029,Santa Fe,Catering
PROV-0030,30-73843987-0,Empresa PROV-0030,Neuquén,Catering
PROV-0031,30-18269081-3,Empresa PROV-0031,Neuquén,Mantenimiento
PROV-0032,30-94168172-3,Empresa PROV-0032,Mendoza,Consultoría
PROV-0033,30-83437956-8,Empresa PROV-0033,Santa Fe,Catering
PROV-0034,30-81062111-5,Empresa PROV-0034,Santa Fe,Consultoría
PROV-0035,30-29252476-6,Empresa PROV-0035,Buenos Aires,Hardware
PROV-0036,30-71914249-0,Empresa PROV-0036,Santa Fe,Hardware
PROV-0037,30-22663349-9,Empresa PROV-0037,Neuquén,Limpieza
PROV-0038,30-70445440-8,Empresa PROV-0038,Santa Fe,Consultoría
PROV-0039,30-85405037-8,Empresa PROV-0039,CABA,Librería
PROV-0040,30-70996468-2,Empresa PROV-0040,Santa Fe,Librería
PROV-0041,30-13016295-9,Empresa PROV-0041,CABA,Librería
PROV-0042,30-31493764-6,Empresa PROV-0042,Buenos Aires,Limpieza
